"ZCTA5CE20,C,5","GEOID20,C,5","CLASSFP20,C,2","MTFCC20,C,5","FUNCSTAT20,C,1","ALAND20,N,14,0","AWATER20,N,14,0","INTPTLAT20,C,11","INTPTLON20,C,12"
35592,35592,B5,G6350,S,298552385,235989,+33.7427261,-088.0973903
35616,35616,B5,G6350,S,559506992,41870756,+34.7395036,-088.0193814
35621,35621,B5,G6350,S,117838488,409438,+34.3350314,-086.7270557
35651,35651,B5,G6350,S,104521045,574316,+34.4609087,-087.4801507
36010,36010,B5,G6350,S,335675180,236811,+31.6598950,-085.8128958
36036,36036,B5,G6350,S,254519723,522940,+31.9739400,-086.1616764
36064,36064,B5,G6350,S,222734779,2634627,+32.3041726,-086.0899193
36080,36080,B5,G6350,S,134716631,8658147,+32.7118063,-086.2840219
36110,36110,B5,G6350,S,76382014,4716230,+32.4465819,-086.2557715
36250,36250,B5,G6350,S,50990207,178966,+33.7647093,-085.8939391
36276,36276,B5,G6350,S,354001503,3721902,+33.1258334,-085.5742159
36322,36322,B5,G6350,S,154059915,136952,+31.2576051,-085.7358074
36460,36460,B5,G6350,S,392358043,398305,+31.5251616,-087.3081219
36545,36545,B5,G6350,S,1021653456,23868728,+31.4885113,-087.8717040
36579,36579,B5,G6350,S,396712426,4008976,+31.1104762,-087.7868713
36603,36603,B5,G6350,S,9883254,450728,+30.6841622,-088.0527562
36782,36782,B5,G6350,S,532045848,1535825,+32.1030296,-087.9139239
36916,36916,B5,G6350,S,115346520,3834126,+32.2415048,-088.0491837
36741,36741,B5,G6350,S,41140068,18072,+32.0307121,-087.0124765
35007,35007,B5,G6350,S,101134483,1957593,+33.2213517,-086.7876519
35010,35010,B5,G6350,S,576808184,74492618,+32.9167188,-085.9405890
35020,35020,B5,G6350,S,42876880,10518,+33.4048114,-086.9539930
35043,35043,B5,G6350,S,119650806,2501260,+33.3105614,-086.6629052
35073,35073,B5,G6350,S,76295015,559767,+33.6512633,-086.9869931
33412,33412,B5,G6350,S,153640872,874024,+26.8033023,-080.2173189
33435,33435,B5,G6350,S,16878045,3841977,+26.5257854,-080.0613671
33440,33440,B5,G6350,S,1880311026,16286983,+26.5379461,-081.0441437
33442,33442,B5,G6350,S,17748633,2572699,+26.3097156,-080.1449054
33471,33471,B5,G6350,S,855569108,15746214,+26.9174978,-081.1981556
33514,33514,B5,G6350,S,109545665,2188107,+28.6608411,-081.9967803
33559,33559,B5,G6350,S,30943460,605349,+28.1609539,-082.4146625
33578,33578,B5,G6350,S,52769414,6303492,+27.8611074,-082.3550604
33713,33713,B5,G6350,S,16928214,313566,+27.7882655,-082.6774611
33777,33777,B5,G6350,S,14249988,2334874,+27.8533643,-082.7608234
33782,33782,B5,G6350,S,13951184,1042783,+27.8596312,-082.7081448
33890,33890,B5,G6350,S,656103886,97290,+27.4552051,-081.7246018
33950,33950,B5,G6350,S,46225257,15908985,+26.9156545,-082.0442963
34113,34113,B5,G6350,S,67013569,19199968,+26.0436491,-081.7324237
34203,34203,B5,G6350,S,40075310,1715538,+27.4403365,-082.5093843
34266,34266,B5,G6350,S,1497278231,3111418,+27.2020372,-081.8021885
34288,34288,B5,G6350,S,49955647,1812788,+27.0536000,-082.1133350
34638,34638,B5,G6350,S,119876980,3471972,+28.2741878,-082.5295230
34787,34787,B5,G6350,S,174182357,27795745,+28.4851744,-081.6194145
33550,33550,B5,G6350,S,30729,0,+27.9795045,-082.3070120
99516,99516,B5,G6350,S,113710105,27202,+61.0793325,-149.7097770
99568,99568,B5,G6350,S,2277443276,117628265,+60.2717972,-150.6052053
99615,99615,B5,G6350,S,10690237987,1037523471,+57.6827174,-153.3788487
33433,33433,B5,G6350,S,24471688,0,+26.3470760,-080.1591892
33463,33463,B5,G6350,S,27916765,108526,+26.5934857,-080.1282821
33493,33493,B5,G6350,S,632544089,204113,+26.4756360,-080.7060023
33513,33513,B5,G6350,S,221429593,4103611,+28.6599034,-082.1691703
33534,33534,B5,G6350,S,34131954,5145364,+27.8179808,-082.3722478
33576,33576,B5,G6350,S,53676060,1304620,+28.3118911,-082.2968934
33756,33756,B5,G6350,S,18677899,3414901,+27.9455907,-082.7939879
33760,33760,B5,G6350,S,14591797,628141,+27.9057865,-082.7139885
33827,33827,B5,G6350,S,82440239,10887780,+27.8179372,-081.5167674
33860,33860,B5,G6350,S,254876133,62973245,+27.8185039,-082.0057828
33912,33912,B5,G6350,S,54955102,2261588,+26.5349867,-081.8257633
33931,33931,B5,G6350,S,26654776,26026689,+26.4301763,-081.9140397
34103,34103,B5,G6350,S,10050355,2519702,+26.1913515,-081.8033305
34135,34135,B5,G6350,S,160007766,4683802,+26.3677125,-081.7356593
34285,34285,B5,G6350,S,21580838,4235775,+27.0945640,-082.4408953
34473,34473,B5,G6350,S,92829347,507128,+28.9976300,-082.1877795
34614,34614,B5,G6350,S,142266975,1661103,+28.6465381,-082.5136402
34950,34950,B5,G6350,S,13380843,4541382,+27.4437877,-080.3309738
33022,33022,B5,G6350,S,19887,0,+26.0138481,-080.1440661
32024,32024,B5,G6350,S,376666830,264873,+30.0919745,-082.7311197
32025,32025,B5,G6350,S,270873898,2159554,+30.1040264,-082.5661677
32040,32040,B5,G6350,S,313772341,0,+30.2470325,-082.2353298
32044,32044,B5,G6350,S,45260792,3399834,+29.8578945,-082.1787077
32062,32062,B5,G6350,S,171415785,3607,+30.1374568,-082.9783382
99622,99622,B5,G6350,S,61624060,90404,+59.8775746,-163.1773167
99670,99670,B5,G6350,S,226349777,15303982,+58.6755335,-156.9941260
99682,99682,B5,G6350,S,294408170,3483542,+61.1908616,-151.1842373
99747,99747,B5,G6350,S,15524487,2081020,+70.1184525,-143.6868178
99776,99776,B5,G6350,S,204889957,4205175,+63.3286914,-143.4865991
99929,99929,B5,G6350,S,6251057296,857780483,+56.2214993,-131.9235877
99506,99506,B5,G6350,S,53038787,19327975,+61.2719577,-149.8071446
99563,99563,B5,G6350,S,1304683992,6383438,+61.5504461,-165.3564575
99574,99574,B5,G6350,S,8526432958,3695341658,+61.1175209,-147.6068899
99575,99575,B5,G6350,S,258545720,19588903,+61.7966975,-158.0810201
99639,99639,B5,G6350,S,930396337,73260,+59.9853328,-151.5076675
99644,99644,B5,G6350,S,42503850,3297972,+57.9101275,-152.3823577
99648,99648,B5,G6350,S,28926602,162369,+55.9344558,-159.1557538
99661,99661,B5,G6350,S,461519715,121034325,+55.2622715,-160.7094219
99723,99723,B5,G6350,S,48899960,8344897,+71.2538615,-156.7982464
99730,99730,B5,G6350,S,16757652653,31850196,+65.6489911,-145.6148405
99768,99768,B5,G6350,S,20744233793,312781793,+65.2604500,-153.5673689
99769,99769,B5,G6350,S,15208049,0,+63.6797055,-170.4833237
99826,99826,B5,G6350,S,142838105,940019,+58.4122900,-135.8086256
99515,99515,B5,G6350,S,27386310,218720,+61.1163805,-149.8903754
99573,99573,B5,G6350,S,9898716754,254944029,+61.5691924,-145.6704749
99649,99649,B5,G6350,S,269617533,132698721,+57.5051370,-157.2858325
99737,99737,B5,G6350,S,14171518071,243647832,+63.4434997,-145.2956149
99755,99755,B5,G6350,S,476275523,624910,+63.7545502,-149.2112072
32073,32073,B5,G6350,S,43610128,9380309,+30.1677109,-081.7398161
32082,32082,B5,G6350,S,86401461,37106258,+30.1115525,-081.3717468
